%problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
6, 90.0, 36.0, 1000.0, 0.1, 0.4, 0.5, 1.0, 2.27373675443e-13
6, 81.0, 81.0, 0.1, 0.1, 0.8, 1.0, 0.001, 4.52112305926e-17
0, 27.0, 18.0, 1000.0, 10.0, 0.2, 3.0, 0.01, 0.0
2, 90.0, 54.0, 1000.0, 1.0, 0.4, 2.0, 0.001, 0.0
7, 63.0, 45.0, 0.001, 0.1, 0.4, 2.0, 0.1, -2.80808362674e-17
6, 81.0, 9.0, 0.001, 0.01, 0.0, 0, 1.0, 0.0
2, 27.0, 9.0, 0.001, 1000.0, 0.2, 1.0, 1.0, 0.0
3, 27.0, 36.0, 0.1, 0.1, 1.0, 1.0, 10.0, -2.84217094304e-14
2, 54.0, 45.0, 0.01, 10.0, 0.2, 3.0, 0.01, 0.0
1, 81.0, 81.0, 1000.0, 10.0, 0.4, 2.0, 10.0, 3.63797880709e-12
6, 90.0, 90.0, 10.0, 10.0, 0.8, 2.5, 1.0, 1.42108547152e-14
7, 9.0, 72.0, 0.001, 10.0, 0.4, 1.0, 0.1, -4.51976780655e-16
1, 63.0, 81.0, 0.1, 1.0, 1.0, 2.5, 0.001, -4.66125619006e-16
3, 72.0, 54.0, 10.0, 1000.0, 0.6, 1.5, 1.0, 0.0
6, 81.0, 9.0, 100.0, 0.1, 0.2, 3.0, 0.001, 2.35367281221e-14
0, 63.0, 81.0, 10.0, 1.0, 0.4, 0.5, 0.01, 0.0
0, 0.0, 36.0, 0.001, 10.0, 0.8, 1.0, 0.01, 0.0
6, 45.0, 0.0, 10.0, 0.1, 0.6, 1.0, 1.0, -4.4408920985e-15
0, 90.0, 81.0, 0.1, 0.1, 1.0, 1.0, 10.0, 0.0
1, 0.0, 9.0, 0.01, 100.0, 1.0, 0.5, 0.1, -3.30829114104e-14
0, 45.0, 45.0, 0.001, 100.0, 0.6, 1.0, 0.001, 0.0
3, 27.0, 81.0, 0.1, 0.001, 0.8, 3.0, 10.0, -2.84217094304e-14
1, 90.0, 18.0, 0.01, 10.0, 0.0, 0, 10.0, -2.52575738102e-15
0, 72.0, 90.0, 1000.0, 1000.0, 0.2, 1.5, 10.0, 0.0
2, 9.0, 0.0, 0.001, 0.01, 0.6, 1.5, 0.001, 0.0
1, 18.0, 72.0, 0.1, 1000.0, 0.6, 0, 0.1, -2.45557046918e-13
2, 0.0, 45.0, 100.0, 100.0, 1.0, 3.0, 10.0, -1.42108547152e-14
6, 63.0, 18.0, 1.0, 10.0, 1.0, 1.5, 1.0, 6.88338275268e-15
2, 27.0, 63.0, 10.0, 1.0, 0.2, 3.0, 10.0, 0.0
6, 45.0, 45.0, 10.0, 0.01, 0.0, 0.5, 1.0, -8.881784197e-15
0, 9.0, 54.0, 1.0, 0.01, 0.2, 0.5, 0.001, 0.0
6, 54.0, 9.0, 1000.0, 0.001, 0.6, 2.0, 1.0, 1.13686837722e-13
