%problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
3, 63.0, 0.0, 100.0, 100.0, 0.6, 3.0, 0.001, 3.41671135828e-14
1, 135.0, 0.0, 1000.0, 10.0, 1.0, 0, 0.01, -1.42108547152e-14
2, 108.0, 0.0, 0.01, 1000.0, 0.4, 1.0, 0.001, 0.0
7, 72.0, 0.0, 1.0, 0.001, 0.2, 0, 10.0, 0.0
1, 99.0, 0.0, 0.01, 0.1, 0.0, 2.0, 0.01, 5.71916645986e-18
1, 144.0, 0.0, 0.001, 10.0, 0.0, 0, 0.01, -7.57155975287e-16
0, 117.0, 0.0, 1000.0, 1.0, 0.8, 0.5, 0.1, 0.0
1, 54.0, 0.0, 1.0, 0.001, 0.2, 0.5, 1.0, 0.0
7, 45.0, 0.0, 100.0, 1.0, 0.0, 3.0, 0.001, 3.77475828373e-15
3, 81.0, 0.0, 0.01, 0.1, 0.2, 1.0, 10.0, -5.3290705182e-15
2, 0.0, 0.0, 0.01, 0.001, 0.0, 3.0, 1.0, 8.67361737988e-19
2, 63.0, 0.0, 0.001, 1000.0, 1.0, 1.5, 0.01, 0.0
3, 63.0, 0.0, 0.01, 100.0, 0.8, 0.5, 1.0, -1.87627691162e-14
1, 9.0, 0.0, 0.1, 0.01, 0.0, 1.0, 0.1, 0.0
7, 153.0, 0.0, 1000.0, 100.0, 1.0, 0, 0.01, 0.0
1, 162.0, 0.0, 1000.0, 10.0, 0.0, 1.5, 1.0, 9.09494701773e-13
1, 162.0, 0.0, 100.0, 100.0, 0.2, 1.0, 0.001, 2.80331313718e-15
2, 126.0, 0.0, 10.0, 100.0, 0.6, 1.5, 1.0, 0.0
6, 144.0, 0.0, 0.001, 10.0, 0.2, 2.0, 10.0, -1.35568639648e-15
7, 0.0, 0.0, 1.0, 0.001, 1.0, 2.5, 10.0, 6.32827124036e-15
0, 126.0, 0.0, 0.01, 100.0, 0.6, 1.0, 0.01, 0.0
3, 9.0, 0.0, 10.0, 0.01, 1.0, 1.0, 0.001, 4.51028103754e-17
2, 9.0, 0.0, 0.01, 0.01, 0.6, 3.0, 0.1, 0.0
0, 36.0, 0.0, 1000.0, 100.0, 0.2, 0.5, 0.1, 0.0
3, 81.0, 0.0, 0.001, 1000.0, 0.0, 1.0, 1.0, -8.00366717346e-14
1, 126.0, 0.0, 1000.0, 1.0, 0.2, 2.0, 0.01, 2.84217094304e-14
3, 27.0, 0.0, 1.0, 1000.0, 0.4, 3.0, 0.1, -2.00089944613e-13
6, 0.0, 0.0, 0.001, 1.0, 0.2, 2.0, 10.0, -2.34187669257e-17
7, 81.0, 0.0, 100.0, 0.1, 0.6, 2.0, 10.0, -3.97903932026e-13
1, 180.0, 0.0, 1000.0, 10.0, 0.2, 1.5, 0.001, -2.84217094304e-14
2, 9.0, 0.0, 0.01, 0.001, 0.0, 0.5, 10.0, 8.67361737988e-19
