%problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
5, 90.0, 0.0, 10.0, 10.0, 0.2, 1.5, 0.1, -4.57411886146e-14
6, 63.0, 81.0, 0.001, 0.01, 0.0, 3.0, 0.01, -2.33103467084e-18
2, 54.0, 81.0, 1.0, 1.0, 1.0, 0, 0.01, 0.0
5, 45.0, 45.0, 10.0, 100.0, 0.8, 1.0, 1.0, -7.1054273576e-15
3, 0.0, 27.0, 0.01, 0.1, 0.0, 1.0, 0.001, 7.17369143689e-17
2, 0.0, 36.0, 10.0, 0.1, 0.0, 2.5, 1.0, 5.55111512313e-16
2, 63.0, 27.0, 100.0, 0.01, 0.4, 2.0, 0.01, -2.77555756156e-17
0, 72.0, 81.0, 1.0, 100.0, 0.2, 0, 1.0, 0.0
4, 54.0, 90.0, 10.0, 100.0, 0.0, 0.5, 10.0, -1.13686837722e-13
0, 36.0, 90.0, 0.001, 1000.0, 0.6, 3.0, 0.01, 0.0
5, 90.0, 27.0, 0.01, 10.0, 0.0, 2.0, 0.01, -4.99166680212e-16
4, 36.0, 90.0, 1000.0, 10.0, 0.4, 0.5, 0.1, 1.17950094136e-12
6, 72.0, 36.0, 0.01, 0.01, 0.4, 3.0, 0.001, 3.86247023948e-19
3, 9.0, 90.0, 10.0, 1.0, 0.2, 2.0, 0.01, -1.38777878078e-16
5, 9.0, 0.0, 0.001, 1000.0, 0.2, 0.5, 0.001, -1.37620995185e-13
7, 90.0, 36.0, 0.01, 0.01, 0.2, 1.0, 1.0, 5.20417042793e-18
6, 9.0, 90.0, 100.0, 100.0, 0.6, 2.5, 0.01, 8.43769498715e-15
6, 0.0, 36.0, 0.1, 0.001, 0.2, 0.5, 0.001, -2.58480574184e-17
1, 81.0, 0.0, 0.001, 100.0, 0.8, 2.5, 10.0, -3.23942261904e-14
2, 27.0, 54.0, 0.01, 0.01, 0.2, 0.5, 10.0, 6.93889390391e-18
1, 90.0, 18.0, 0.01, 100.0, 0.0, 1.0, 10.0, -3.98292510084e-14
4, 72.0, 27.0, 10.0, 0.01, 0.8, 1.0, 1.0, 1.42108547152e-14
4, 27.0, 36.0, 100.0, 1000.0, 0.4, 3.0, 0.1, -1.13686837722e-13
6, 63.0, 90.0, 0.001, 1.0, 0.2, 1.5, 1.0, 2.49800180541e-16
3, 72.0, 90.0, 10.0, 0.001, 0.2, 0, 1.0, 0.0
6, 27.0, 81.0, 0.1, 1.0, 1.0, 2.0, 0.001, 7.762887555e-17
3, 54.0, 90.0, 10.0, 1000.0, 0.4, 2.0, 0.001, 1.42681005899e-13
0, 9.0, 36.0, 0.001, 0.01, 0.2, 1.0, 10.0, 0.0
1, 63.0, 90.0, 1000.0, 1.0, 0.0, 0, 0.01, 2.84217094304e-14
7, 90.0, 27.0, 0.1, 1.0, 0.6, 0, 1.0, 0.0
3, 18.0, 72.0, 10.0, 1000.0, 1.0, 2.0, 0.01, 3.07392999943e-13
7, 54.0, 18.0, 0.1, 10.0, 0.6, 3.0, 0.001, 1.30917412328e-16
