%problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
3, 9.0, 0.0, 10.0, 0.001, 0.0, 0.1, 1000.0, -4.4703483581542969e-08
7, 0.0, 0.0, 100.0, 10.0, 0.0, 1.0, 0.01, -2.2870594307278225e-14
7, 9.0, 0.0, 1000.0, 0.001, 1.0, 10.0, 100.0, 105176.76429927132
2, 0.0, 0.0, 0.001, 10.0, 0.2, 1.0, 100.0, 0.0
7, 0.0, 0.0, 0.01, 100.0, 0.0, 0.1, 0.1, -1.836847189108648e-14
7, 9.0, 0.0, 1.0, 10.0, 0.0, 0.1, 10.0, 3.5527136788005009e-15
1, 0.0, 0.0, 10.0, 1.0, 1.0, 1.0, 0.1, 4.4408920985006262e-16
1, 0.0, 0.0, 0.1, 0.001, 0.2, 0.1, 0.01, 1.7347234759768071e-18
6, 9.0, 0.0, 0.01, 0.01, 0.4, 0.1, 0.1, -1.4365678785432934e-18
0, 9.0, 0.0, 100.0, 0.01, 0.4, 10.0, 10.0, 0.0
1, 0.0, 0.0, 0.1, 10.0, 0.6000000000000001, 1.0, 0.001, -2.242482458406081e-15
0, 9.0, 0.0, 0.001, 0.01, 0.0, 0.1, 0.001, 0.0
4, 9.0, 0.0, 1.0, 1.0, 0.4, 0.1, 1000.0, 9.4223651103675365e-10
6, 9.0, 0.0, 100.0, 1000.0, 1.0, 1.0, 0.01, 8.1712414612411521e-14
3, 9.0, 0.0, 0.001, 1000.0, 0.2, 0.1, 0.001, 3.2531778602376776e-13
7, 0.0, 0.0, 0.1, 1000.0, 0.0, 1.0, 0.01, 1.2605574136598241e-13
7, 0.0, 0.0, 1000.0, 10.0, 0.4, 0.1, 1.0, 2.2737367544323206e-13
1, 9.0, 0.0, 0.1, 100.0, 0.6000000000000001, 1.0, 1000.0, 0.0
3, 9.0, 0.0, 0.01, 0.1, 0.8, 10.0, 0.001, 7.1736914368861204e-17
4, 9.0, 0.0, 100.0, 10.0, 0.6000000000000001, 10.0, 0.01, 2.2737367544323206e-12
5, 9.0, 0.0, 0.001, 1.0, 0.4, 0.1, 0.1, -1.6185105556135171e-17
4, 0.0, 0.0, 1.0, 1.0, 0.4, 1.0, 1.0, 1.7763568394002505e-15
7, 9.0, 0.0, 1.0, 1.0, 1.0, 1.0, 10.0, -3.4972025275692431e-15
7, 9.0, 0.0, 10.0, 100.0, 0.8, 1.0, 100.0, 1.9380053117856733e-12
4, 0.0, 0.0, 1.0, 0.1, 0.6000000000000001, 10.0, 1.0, -7.1305346262837904e+29
3, 0.0, 0.0, 1.0, 0.001, 1.0, 0.1, 0.001, -7.8062556418956319e-18
0, 0.0, 0.0, 100.0, 1.0, 0.4, 0.1, 1000.0, 0.0
1, 0.0, 0.0, 0.01, 0.01, 1.0, 1.0, 100.0, 0.0
6, 0.0, 0.0, 100.0, 0.001, 0.8, 10.0, 0.1, 3.5527136788005009e-15
7, 0.0, 0.0, 0.01, 100.0, 0.2, 10.0, 100.0, 2.5699476284071001
0, 0.0, 0.0, 100.0, 0.001, 1.0, 0.1, 1.0, 0.0
6, 9.0, 0.0, 100.0, 1.0, 0.6000000000000001, 10.0, 0.1, -7.1054273576010019e-15
